gbifID,abstract,accessRights,accrualMethod,accrualPeriodicity,accrualPolicy,alternative,audience,available,bibliographicCitation,conformsTo,contributor,coverage,created,creator,date,dateAccepted,dateCopyrighted,dateSubmitted,description,educationLevel,extent,format,hasFormat,hasPart,hasVersion,identifier,instructionalMethod,isFormatOf,isPartOf,isReferencedBy,isReplacedBy,isRequiredBy,isVersionOf,issued,language,license,mediator,medium,modified,provenance,publisher,references,relation,replaces,requires,rights,rightsHolder,source,spatial,subject,tableOfContents,temporal,title,type,valid,institutionID,collectionID,datasetID,institutionCode,collectionCode,datasetName,ownerInstitutionCode,basisOfRecord,informationWithheld,dataGeneralizations,dynamicProperties,occurrenceID,catalogNumber,recordNumber,recordedBy,individualCount,organismQuantity,organismQuantityType,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,occurrenceStatus,preparations,disposition,associatedReferences,associatedSequences,associatedTaxa,otherCatalogNumbers,occurrenceRemarks,organismID,organismName,organismScope,associatedOccurrences,associatedOrganisms,previousIdentifications,organismRemarks,materialSampleID,eventID,parentEventID,fieldNumber,eventDate,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,samplingProtocol,samplingEffort,sampleSizeValue,sampleSizeUnit,fieldNotes,eventRemarks,locationID,higherGeographyID,higherGeography,continent,waterBody,islandGroup,island,countryCode,stateProvince,county,municipality,locality,verbatimLocality,verbatimElevation,verbatimDepth,minimumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,locationAccordingTo,locationRemarks,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,pointRadiusSpatialFit,verbatimCoordinateSystem,verbatimSRS,footprintWKT,footprintSRS,footprintSpatialFit,georeferencedBy,georeferencedDate,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,geologicalContextID,earliestEonOrLowestEonothem,latestEonOrHighestEonothem,earliestEraOrLowestErathem,latestEraOrHighestErathem,earliestPeriodOrLowestSystem,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,earliestAgeOrLowestStage,latestAgeOrHighestStage,lowestBiostratigraphicZone,highestBiostratigraphicZone,lithostratigraphicTerms,group,formation,member,bed,identificationID,identificationQualifier,typeStatus,identifiedBy,dateIdentified,identificationReferences,identificationVerificationStatus,identificationRemarks,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,order,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,datasetKey,publishingCountry,lastInterpreted,elevation,elevationAccuracy,depth,depthAccuracy,distanceAboveSurface,distanceAboveSurfaceAccuracy,issue,mediaType,hasCoordinate,hasGeospatialIssues,taxonKey,acceptedTaxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,subgenusKey,speciesKey,species,genericName,acceptedScientificName,verbatimScientificName,typifiedName,protocol,lastParsed,lastCrawled,repatriated,relativeOrganismQuantity,recordedByID,identifiedByID,level0Gid,level0Name,level1Gid,level1Name,level2Gid,level2Name,level3Gid,level3Name,iucnRedListCategory
3031718908,,,,,,,,,,,,,,,,,,,,,,,,,,68671916,,,,,,,,,,CC_BY_4_0,,,2021-01-27T04:43:52Z,,,https://www.inaturalist.org/observations/68671916,,,,© Tom some rights reserved,Tom,,,,,,,,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,,https://www.inaturalist.org/observations/68671916,68671916,,Tom,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,2021-01-23T12:46:00,23:46:00Z,,,2021,1,23,2021/01/23 12:46 PM NZDT,,,,,,,,,,,,,,,NZ,Northland,,,,"Kaeo, New Zealand",,,,,,,-35.089266,173.716131,3906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152277721,,,Tom,2021-01-27T04:08:49,,,,679614,,,,,,,,"Onthophagus binodis (Thunberg, 1818)",,,,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Onthophagus,,binodis,,SPECIES,,,,ACCEPTED,,,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2021-05-18T12:26:03.222Z,,,,,,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,StillImage,TRUE,FALSE,1091858,1091858,1,54,216,1470,5840,1089294,,1091858,Onthophagus binodis,Onthophagus,"Onthophagus binodis (Thunberg, 1818)",Onthophagus binodis,,DWC_ARCHIVE,2021-05-18T12:26:03.222Z,2021-05-18T09:31:41.707Z,TRUE,,,,NZL,New Zealand,NZL.11_1,Northland,NZL.11.1_1,Far North,,,
2973504462,,,,,,,,,,,,,,,,,,,,,,,,,,a02733de-2c89-47c1-be36-ec2597766f5b,,,,,,,,,,CC_BY_4_0,,,,,,https://biocache.ala.org.au/occurrences/a02733de-2c89-47c1-be36-ec2597766f5b,,,,,,,,,,,,,,,,,QVMAG,Invertebrates,,,PRESERVED_SPECIMEN,,Identification aligned to national taxonomy. Originally supplied as [[ <not-supplied> | <not-supplied> | <not-supplied> | Coleoptera | Scarabaeidae | Onthophagus | Onthophagus binodis]],,a02733de-2c89-47c1-be36-ec2597766f5b,QVM:2019:12:1095,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,2019-02-03T00:00:00,,,,2019,2,3,,,,,,,,,,,,,,,,,,,,Stokes Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,urn:lsid:biodiversity.org.au:afd.taxon:da12f8d6-d7f7-4aea-adbc-4aed9fb15082,"Onthophagus binodis (Thunberg, 1818)",,,,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Onthophagus,,binodis,,SPECIES,,Humpbacked Dung Beetle,,ACCEPTED,,,d0e133c0-6c8a-11de-8226-b8a03c50a862,AU,2021-05-10T00:18:34.310Z,,,,,,,,,FALSE,FALSE,1091858,1091858,1,54,216,1470,5840,1089294,,1091858,Onthophagus binodis,Onthophagus,"Onthophagus binodis (Thunberg, 1818)",Onthophagus binodis,,DWC_ARCHIVE,2021-05-10T00:18:34.310Z,2021-05-10T00:17:33.138Z,,,,,,,,,,,,,
2610818301,,,,,,,,,,,,,,,,,,,,,,,,,,014206c3-9c80-498b-b01f-cee46cc9f258,,,,,,,,,,CC_BY_4_0,,,,,,https://biocache.ala.org.au/occurrences/014206c3-9c80-498b-b01f-cee46cc9f258,,,,,,,,,,,,,,,,,,,,,HUMAN_OBSERVATION,,Identification aligned to national taxonomy. Originally supplied as [[ <not-supplied> | <not-supplied> | <not-supplied> | <not-supplied> | <not-supplied> | <not-supplied> | Onthophagus binodis (Humpbacked Dung Beetle)]],,014206c3-9c80-498b-b01f-cee46cc9f258,,,JASON YOUNG,1,,,,,,,,PRESENT,,,,,,f906b6d2-4fc0-46e8-b48a-7132af9b9685,"11mm long; found in fresh dung water bucket in garden, one day after the dung was collected from the paddock adjacent to the house;  found with other species of dung beetle; note the plain back, thus this is not a large version of O. taurus",,,,,,,,,18b9a3ad-0783-4a3e-834d-9421c85024d0,,,2020-04-16T00:00:00,,,,2020,4,16,,,,,,,,,,,,,,,,AU,Western Australia,,,,,,,,,,,-34.956446,117.28637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,urn:lsid:biodiversity.org.au:afd.taxon:da12f8d6-d7f7-4aea-adbc-4aed9fb15082,"Onthophagus binodis (Thunberg, 1818)",,,,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Onthophagus,,binodis,,SPECIES,,Humpbacked Dung Beetle,,ACCEPTED,,,84a649ce-ff81-420d-9c41-aa1de59e3766,AU,2021-05-09T19:49:49.747Z,,,,,,,COORDINATE_ROUNDED,,TRUE,FALSE,1091858,1091858,1,54,216,1470,5840,1089294,,1091858,Onthophagus binodis,Onthophagus,"Onthophagus binodis (Thunberg, 1818)",Onthophagus binodis,,DWC_ARCHIVE,2021-05-09T19:49:49.747Z,2021-05-09T19:48:06.550Z,FALSE,,,,AUS,Australia,AUS.11_1,Western Australia,AUS.11.39_1,Denmark,,,
2592565626,,,,,,,,,,,,,,,,,,,,,,,,,,TMSA:TMSC12351,,,,,,,,,,CC_BY_4_0,,,,,,,,,,,,,,,,,,,,,,,TMSA,,,,PRESERVED_SPECIMEN,,,,TMSA:TMSC12351,TMSC12351,,Kobrow G,1,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,1932-01-15T00:00:00,,,,1932,1,15,,,,,,,,,,,,,,,,ZA,Gauteng,,,Johannesburg,,,,,,,,-26.366667,28.366667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Davis A,2013-01-01T00:00:00,,,,,,,,,,,,"Onthophagus binodis (Thunberg, 1818)",,,,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Onthophagus,,binodis,,SPECIES,,,,ACCEPTED,,,df14ad14-c42d-4527-af3d-204892b6de43,ZA,2021-03-30T12:58:13.724Z,,,,,,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,,TRUE,FALSE,1091858,1091858,1,54,216,1470,5840,1089294,,1091858,Onthophagus binodis,Onthophagus,"Onthophagus binodis (Thunberg, 1818)",Onthophagus binodis,,DWC_ARCHIVE,2021-03-30T12:58:13.724Z,2021-03-27T02:45:34.608Z,FALSE,,,,ZAF,South Africa,ZAF.3_1,Gauteng,ZAF.3.3_1,Ekurhuleni,ZAF.3.3.1_1,Ekurhuleni,
2592565624,,,,,,,,,,,,,,,,,,,,,,,,,,TMSA:TMSC12356,,,,,,,,,,CC_BY_4_0,,,,,,,,,,,,,,,,,,,,,,,TMSA,,,,PRESERVED_SPECIMEN,,,,TMSA:TMSC12356,TMSC12356,,Breytenbach W,1,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,1980-03-02T00:00:00,,,,1980,3,2,,,,,,,,,,,,,,,,ZA,Western Cape,,,Saasveld,,,,,,,,-33.95,22.533333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Davis A,2013-01-01T00:00:00,,,,,,,,,,,,"Onthophagus binodis (Thunberg, 1818)",,,,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Onthophagus,,binodis,,SPECIES,,,,ACCEPTED,,,df14ad14-c42d-4527-af3d-204892b6de43,ZA,2021-03-30T12:58:13.724Z,,,,,,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,,TRUE,FALSE,1091858,1091858,1,54,216,1470,5840,1089294,,1091858,Onthophagus binodis,Onthophagus,"Onthophagus binodis (Thunberg, 1818)",Onthophagus binodis,,DWC_ARCHIVE,2021-03-30T12:58:13.724Z,2021-03-27T02:45:34.608Z,FALSE,,,,ZAF,South Africa,ZAF.9_1,Western Cape,ZAF.9.4_1,Eden,ZAF.9.4.2_1,George,
2592565623,,,,,,,,,,,,,,,,,,,,,,,,,,TMSA:TMSC12352,,,,,,,,,,CC_BY_4_0,,,,,,,,,,,,,,,,,,,,,,,TMSA,,,,PRESERVED_SPECIMEN,,,,TMSA:TMSC12352,TMSC12352,,Kobrow G,1,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,1932-02-15T00:00:00,,,,1932,2,15,,,,,,,,,,,,,,,,ZA,Gauteng,,,Johannesburg,,,,,,,,-26.366667,28.366667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Davis A,2013-01-01T00:00:00,,,,,,,,,,,,"Onthophagus binodis (Thunberg, 1818)",,,,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Onthophagus,,binodis,,SPECIES,,,,ACCEPTED,,,df14ad14-c42d-4527-af3d-204892b6de43,ZA,2021-03-30T12:58:13.728Z,,,,,,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,,TRUE,FALSE,1091858,1091858,1,54,216,1470,5840,1089294,,1091858,Onthophagus binodis,Onthophagus,"Onthophagus binodis (Thunberg, 1818)",Onthophagus binodis,,DWC_ARCHIVE,2021-03-30T12:58:13.728Z,2021-03-27T02:45:34.608Z,FALSE,,,,ZAF,South Africa,ZAF.3_1,Gauteng,ZAF.3.3_1,Ekurhuleni,ZAF.3.3.1_1,Ekurhuleni,
2592565622,,,,,,,,,,,,,,,,,,,,,,,,,,TMSA:TMSC12358,,,,,,,,,,CC_BY_4_0,,,,,,,,,,,,,,,,,,,,,,,TMSA,,,,PRESERVED_SPECIMEN,,,,TMSA:TMSC12358,TMSC12358,,Breytenbach,1,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZA,Western Cape,,,Saasveld,,,,,,,,-33.95,22.533333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Davis A,2013-01-01T00:00:00,,,,,,,,,,,,"Onthophagus binodis (Thunberg, 1818)",,,,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Onthophagus,,binodis,,SPECIES,,,,ACCEPTED,,,df14ad14-c42d-4527-af3d-204892b6de43,ZA,2021-03-30T12:58:13.723Z,,,,,,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,,TRUE,FALSE,1091858,1091858,1,54,216,1470,5840,1089294,,1091858,Onthophagus binodis,Onthophagus,"Onthophagus binodis (Thunberg, 1818)",Onthophagus binodis,,DWC_ARCHIVE,2021-03-30T12:58:13.723Z,2021-03-27T02:45:34.608Z,FALSE,,,,ZAF,South Africa,ZAF.9_1,Western Cape,ZAF.9.4_1,Eden,ZAF.9.4.2_1,George,
2592565620,,,,,,,,,,,,,,,,,,,,,,,,,,TMSA:TMSC12354,,,,,,,,,,CC_BY_4_0,,,,,,,,,,,,,,,,,,,,,,,TMSA,,,,PRESERVED_SPECIMEN,,,,TMSA:TMSC12354,TMSC12354,,Breytenbach W,17,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,1980-10-01T00:00:00,,,,1980,10,1,,,,,,,,,,,,,,,,ZA,Western Cape,,,Saasveld,,,,,,,,-33.95,22.533333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Davis A,2013-01-01T00:00:00,,,,,,,,,,,,"Onthophagus binodis (Thunberg, 1818)",,,,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Onthophagus,,binodis,,SPECIES,,,,ACCEPTED,,,df14ad14-c42d-4527-af3d-204892b6de43,ZA,2021-03-30T12:58:13.723Z,,,,,,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,,TRUE,FALSE,1091858,1091858,1,54,216,1470,5840,1089294,,1091858,Onthophagus binodis,Onthophagus,"Onthophagus binodis (Thunberg, 1818)",Onthophagus binodis,,DWC_ARCHIVE,2021-03-30T12:58:13.723Z,2021-03-27T02:45:34.608Z,FALSE,,,,ZAF,South Africa,ZAF.9_1,Western Cape,ZAF.9.4_1,Eden,ZAF.9.4.2_1,George,
2592565618,,,,,,,,,,,,,,,,,,,,,,,,,,TMSA:TMSC12353,,,,,,,,,,CC_BY_4_0,,,,,,,,,,,,,,,,,,,,,,,TMSA,,,,PRESERVED_SPECIMEN,,,,TMSA:TMSC12353,TMSC12353,,"Jones R, Snyman H",1,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,1969-03-15T00:00:00,,,,1969,3,15,,,,,,,,,,,,,,,,ZA,Free State Province,,,Maghaleen Farm,,,,,,,,-30.15,27.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Davis A,2013-01-01T00:00:00,,,,,,,,,,,,"Onthophagus binodis (Thunberg, 1818)",,,,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Onthophagus,,binodis,,SPECIES,,,,ACCEPTED,,,df14ad14-c42d-4527-af3d-204892b6de43,ZA,2021-03-30T12:58:13.723Z,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,,TRUE,FALSE,1091858,1091858,1,54,216,1470,5840,1089294,,1091858,Onthophagus binodis,Onthophagus,"Onthophagus binodis (Thunberg, 1818)",Onthophagus binodis,,DWC_ARCHIVE,2021-03-30T12:58:13.723Z,2021-03-27T02:45:34.608Z,FALSE,,,,ZAF,South Africa,ZAF.2_1,Free State,ZAF.2.5_1,Xhariep,ZAF.2.5.3_1,Mohokare,
2592565617,,,,,,,,,,,,,,,,,,,,,,,,,,TMSA:TMSC12357,,,,,,,,,,CC_BY_4_0,,,,,,,,,,,,,,,,,,,,,,,TMSA,,,,PRESERVED_SPECIMEN,,,,TMSA:TMSC12357,TMSC12357,,Breytenbach W,1,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,1980-09-30T00:00:00,,,,1980,9,30,,,,,,,,,,,,,,,,ZA,Western Cape,,,Saasveld,,,,,,,,-33.95,22.533333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Davis A,2013-01-01T00:00:00,,,,,,,,,,,,"Onthophagus binodis (Thunberg, 1818)",,,,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Onthophagus,,binodis,,SPECIES,,,,ACCEPTED,,,df14ad14-c42d-4527-af3d-204892b6de43,ZA,2021-03-30T12:58:13.725Z,,,,,,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,,TRUE,FALSE,1091858,1091858,1,54,216,1470,5840,1089294,,1091858,Onthophagus binodis,Onthophagus,"Onthophagus binodis (Thunberg, 1818)",Onthophagus binodis,,DWC_ARCHIVE,2021-03-30T12:58:13.725Z,2021-03-27T02:45:34.608Z,FALSE,,,,ZAF,South Africa,ZAF.9_1,Western Cape,ZAF.9.4_1,Eden,ZAF.9.4.2_1,George,
2592565616,,,,,,,,,,,,,,,,,,,,,,,,,,TMSA:TMSC12359,,,,,,,,,,CC_BY_4_0,,,,,,,,,,,,,,,,,,,,,,,TMSA,,,,PRESERVED_SPECIMEN,,,,TMSA:TMSC12359,TMSC12359,,Endrody-Younga S,2,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,1997-01-18T00:00:00,,,,1997,1,18,,,,,,,,,,,,,,,,ZA,KwaZulu-Natal,,,Cathederal Peak Forest Station,,1800,,,,,,-28.933333,29.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Davis A,2013-01-01T00:00:00,,,,,,,,,,,,"Onthophagus binodis (Thunberg, 1818)",,,,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Onthophagus,,binodis,,SPECIES,,,,ACCEPTED,,,df14ad14-c42d-4527-af3d-204892b6de43,ZA,2021-03-30T12:58:13.723Z,,,,,,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,,TRUE,FALSE,1091858,1091858,1,54,216,1470,5840,1089294,,1091858,Onthophagus binodis,Onthophagus,"Onthophagus binodis (Thunberg, 1818)",Onthophagus binodis,,DWC_ARCHIVE,2021-03-30T12:58:13.723Z,2021-03-27T02:45:34.608Z,FALSE,,,,ZAF,South Africa,ZAF.4_1,KwaZulu-Natal,ZAF.4.9_1,Uthukela,ZAF.4.9.4_1,Okhahlamba,
2592565615,,,,,,,,,,,,,,,,,,,,,,,,,,TMSA:TMSC12360,,,,,,,,,,CC_BY_4_0,,,,,,,,,,,,,,,,,,,,,,,TMSA,,,,PRESERVED_SPECIMEN,,,,TMSA:TMSC12360,TMSC12360,,Breytenbach W,2,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,1979-12-07T00:00:00,,,,1979,12,7,,,,,,,,,,,,,,,,ZA,Western Cape Province,,,Knysna unspecified,,,,,,,,-34.033333,23.033333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Davis A,2013-01-01T00:00:00,,,,,,,,,,,,"Onthophagus binodis (Thunberg, 1818)",,,,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Onthophagus,,binodis,,SPECIES,,,,ACCEPTED,,,df14ad14-c42d-4527-af3d-204892b6de43,ZA,2021-03-30T12:58:13.725Z,,,,,,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,,TRUE,FALSE,1091858,1091858,1,54,216,1470,5840,1089294,,1091858,Onthophagus binodis,Onthophagus,"Onthophagus binodis (Thunberg, 1818)",Onthophagus binodis,,DWC_ARCHIVE,2021-03-30T12:58:13.725Z,2021-03-27T02:45:34.608Z,FALSE,,,,ZAF,South Africa,ZAF.9_1,Western Cape,ZAF.9.4_1,Eden,ZAF.9.4.5_1,Knysna,
2592565432,,,,,,,,,,,,,,,,,,,,,,,,,,TMSA:TMSC12355,,,,,,,,,,CC_BY_4_0,,,,,,,,,,,,,,,,,,,,,,,TMSA,,,,PRESERVED_SPECIMEN,,,,TMSA:TMSC12355,TMSC12355,,Breytenbach W,1,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,1981-02-25T00:00:00,,,,1981,2,25,,,,,,,,,,,,,,,,ZA,Western Cape,,,Saasveld,,,,,,,,-33.95,22.533333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Davis A,2013-01-01T00:00:00,,,,,,,,,,,,"Onthophagus binodis (Thunberg, 1818)",,,,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Onthophagus,,binodis,,SPECIES,,,,ACCEPTED,,,df14ad14-c42d-4527-af3d-204892b6de43,ZA,2021-03-30T12:58:13.724Z,,,,,,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,,TRUE,FALSE,1091858,1091858,1,54,216,1470,5840,1089294,,1091858,Onthophagus binodis,Onthophagus,"Onthophagus binodis (Thunberg, 1818)",Onthophagus binodis,,DWC_ARCHIVE,2021-03-30T12:58:13.724Z,2021-03-27T02:45:34.608Z,FALSE,,,,ZAF,South Africa,ZAF.9_1,Western Cape,ZAF.9.4_1,Eden,ZAF.9.4.2_1,George,
2592564799,,,,,,,,,,,,,,,,,,,,,,,,,,TMSA:TMSC12113,,,,,,,,,,CC_BY_4_0,,,,,,,,,,,,,,,,,,,,,,,TMSA,,,,PRESERVED_SPECIMEN,,,,TMSA:TMSC12113,TMSC12113,,Aschenborn O,3,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,2006-03-15T00:00:00,,,,2006,3,15,,,,,,,,,,,,,,,,LS,,,,Maseru,,,,,,,,-29.363056,27.514444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Davis A,2013-01-01T00:00:00,,,,,,,,,,,,"Onthophagus binodis (Thunberg, 1818)",,,,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Onthophagus,,binodis,,SPECIES,,,,ACCEPTED,,,df14ad14-c42d-4527-af3d-204892b6de43,ZA,2021-03-30T12:58:13.661Z,,,,,,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,,TRUE,FALSE,1091858,1091858,1,54,216,1470,5840,1089294,,1091858,Onthophagus binodis,Onthophagus,"Onthophagus binodis (Thunberg, 1818)",Onthophagus binodis,,DWC_ARCHIVE,2021-03-30T12:58:13.661Z,2021-03-27T02:45:34.608Z,TRUE,,,,LSO,Lesotho,LSO.5_1,Maseru,,,,,
2592564798,,,,,,,,,,,,,,,,,,,,,,,,,,TMSA:TMSC12114,,,,,,,,,,CC_BY_4_0,,,,,,,,,,,,,,,,,,,,,,,TMSA,,,,PRESERVED_SPECIMEN,,,,TMSA:TMSC12114,TMSC12114,,Endrody-Younga S,1,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,1997-01-18T00:00:00,,,,1997,1,18,,,,,,,,,,,,,,,,ZA,KwaZulu-Natal,,,Cathederal Peak Forest Station,,1800,,,,,,-28.933333,29.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Davis A,2013-01-01T00:00:00,,,,,,,,,,,,"Onthophagus binodis (Thunberg, 1818)",,,,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Onthophagus,,binodis,,SPECIES,,,,ACCEPTED,,,df14ad14-c42d-4527-af3d-204892b6de43,ZA,2021-03-30T12:58:13.660Z,,,,,,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,,TRUE,FALSE,1091858,1091858,1,54,216,1470,5840,1089294,,1091858,Onthophagus binodis,Onthophagus,"Onthophagus binodis (Thunberg, 1818)",Onthophagus binodis,,DWC_ARCHIVE,2021-03-30T12:58:13.660Z,2021-03-27T02:45:34.608Z,FALSE,,,,ZAF,South Africa,ZAF.4_1,KwaZulu-Natal,ZAF.4.9_1,Uthukela,ZAF.4.9.4_1,Okhahlamba,
