gbifID,abstract,accessRights,accrualMethod,accrualPeriodicity,accrualPolicy,alternative,audience,available,bibliographicCitation,conformsTo,contributor,coverage,created,creator,date,dateAccepted,dateCopyrighted,dateSubmitted,description,educationLevel,extent,format,hasFormat,hasPart,hasVersion,identifier,instructionalMethod,isFormatOf,isPartOf,isReferencedBy,isReplacedBy,isRequiredBy,isVersionOf,issued,language,license,mediator,medium,modified,provenance,publisher,references,relation,replaces,requires,rights,rightsHolder,source,spatial,subject,tableOfContents,temporal,title,type,valid,institutionID,collectionID,datasetID,institutionCode,collectionCode,datasetName,ownerInstitutionCode,basisOfRecord,informationWithheld,dataGeneralizations,dynamicProperties,occurrenceID,catalogNumber,recordNumber,recordedBy,individualCount,organismQuantity,organismQuantityType,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,occurrenceStatus,preparations,disposition,associatedReferences,associatedSequences,associatedTaxa,otherCatalogNumbers,occurrenceRemarks,organismID,organismName,organismScope,associatedOccurrences,associatedOrganisms,previousIdentifications,organismRemarks,materialSampleID,eventID,parentEventID,fieldNumber,eventDate,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,samplingProtocol,samplingEffort,sampleSizeValue,sampleSizeUnit,fieldNotes,eventRemarks,locationID,higherGeographyID,higherGeography,continent,waterBody,islandGroup,island,countryCode,stateProvince,county,municipality,locality,verbatimLocality,verbatimElevation,verbatimDepth,minimumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,locationAccordingTo,locationRemarks,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,pointRadiusSpatialFit,verbatimCoordinateSystem,verbatimSRS,footprintWKT,footprintSRS,footprintSpatialFit,georeferencedBy,georeferencedDate,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,geologicalContextID,earliestEonOrLowestEonothem,latestEonOrHighestEonothem,earliestEraOrLowestErathem,latestEraOrHighestErathem,earliestPeriodOrLowestSystem,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,earliestAgeOrLowestStage,latestAgeOrHighestStage,lowestBiostratigraphicZone,highestBiostratigraphicZone,lithostratigraphicTerms,group,formation,member,bed,identificationID,identificationQualifier,typeStatus,identifiedBy,dateIdentified,identificationReferences,identificationVerificationStatus,identificationRemarks,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,order,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,datasetKey,publishingCountry,lastInterpreted,elevation,elevationAccuracy,depth,depthAccuracy,distanceAboveSurface,distanceAboveSurfaceAccuracy,issue,mediaType,hasCoordinate,hasGeospatialIssues,taxonKey,acceptedTaxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,subgenusKey,speciesKey,species,genericName,acceptedScientificName,verbatimScientificName,typifiedName,protocol,lastParsed,lastCrawled,repatriated,relativeOrganismQuantity,recordedByID,identifiedByID,level0Gid,level0Name,level1Gid,level1Name,level2Gid,level2Name,level3Gid,level3Name,iucnRedListCategory
3108993537,,,,,,,,,,,,,,,,,,,,,,,,,,74699919,,,,,,,,,,CC_BY_NC_4_0,,,2021-04-29T03:07:08Z,,,https://www.inaturalist.org/observations/74699919,,,,© Ashley Schmitz some rights reserved,Ashley Schmitz,,,,,,,,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,,https://www.inaturalist.org/observations/74699919,74699919,,Ashley Schmitz,,,,,,,,,PRESENT,,,,,,,"A pair, taken from cattle dung. Male (left), female(right)",,,,,,,,,,,,2020-10-06T00:00:00,,,,2020,10,6,6/10/2020,,,,,,,,,,,,,,,US,Texas,,,,"Encino, TX 78353, USA",,,,,,,26.850696,-98.321316,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166985868,,,Ashley Schmitz,2021-04-21T02:08:33,,,,209109,,,,,,,,"Euoniticellus intermedius (Reiche, 1848)",,,,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Euoniticellus,,intermedius,,SPECIES,,,,ACCEPTED,,,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2021-05-18T12:51:39.111Z,,,,,,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,StillImage,TRUE,FALSE,1094483,1094483,1,54,216,1470,5840,1094471,,1094483,Euoniticellus intermedius,Euoniticellus,"Euoniticellus intermedius (Reiche, 1848)",Euoniticellus intermedius,,DWC_ARCHIVE,2021-05-18T12:51:39.111Z,2021-05-18T09:31:41.707Z,FALSE,,,,USA,United States,USA.44_1,Texas,USA.44.24_1,Brooks,,,
3069938322,,,,,,,,,,,,,,,,,,,,,,,,,,64ba59e0-7686-4656-b001-f2568247f602,,,,,,,,,,CC_BY_4_0,,,,,,https://biocache.ala.org.au/occurrences/64ba59e0-7686-4656-b001-f2568247f602,,,,,,,,,,,,,,,,,,,,,HUMAN_OBSERVATION,,Identification aligned to national taxonomy. Originally supplied as [[ <not-supplied> | <not-supplied> | <not-supplied> | <not-supplied> | <not-supplied> | <not-supplied> | Euoniticellus intermedius]],,64ba59e0-7686-4656-b001-f2568247f602,,,gail abernethy,44,,,,,,,,PRESENT,,,,,,270dd3a0-0dd6-470f-95d1-66e18ea34b15,DBID Project - identification by Bernard Doube,,,,,,,,,7185d7db-3069-40e6-a50f-ff733734d197,,,2020-05-01T00:00:00,,,,2020,5,1,,,,,,,,,,,,,,,,AU,Queensland,,,,,,,,,,,-17.439301,145.427527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,urn:lsid:biodiversity.org.au:afd.taxon:a26511d7-b44f-477e-ad0d-0653efe89228,"Euoniticellus intermedius (Reiche, 1848)",,,,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Euoniticellus,,intermedius,,SPECIES,,Northern Sandy Dung Beetle,,ACCEPTED,,,84a649ce-ff81-420d-9c41-aa1de59e3766,AU,2021-05-09T19:49:41.139Z,,,,,,,COORDINATE_ROUNDED,,TRUE,FALSE,1094483,1094483,1,54,216,1470,5840,1094471,,1094483,Euoniticellus intermedius,Euoniticellus,"Euoniticellus intermedius (Reiche, 1848)",Euoniticellus intermedius,,DWC_ARCHIVE,2021-05-09T19:49:41.139Z,2021-05-09T19:48:06.550Z,FALSE,,,,AUS,Australia,AUS.7_1,Queensland,AUS.7.63_1,Tablelands,,,
3067983482,,,,,,,,,,,,,,,,,,,,,,,,,,19540186,,,,,,,,,,CC_BY_NC_4_0,,,2019-01-09T22:58:28Z,,,https://www.inaturalist.org/observations/19540186,,,,© Pedro Nájera Quezada some rights reserved,Pedro Nájera Quezada,,,,,,,,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,,https://www.inaturalist.org/observations/19540186,19540186,,Pedro Nájera Quezada,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,2018-11-25T11:42:00,17:42:00Z,,,2018,11,25,2018/11/25 11:42 AM CST,,,,,,,,,,,,,,,MX,San Luis Potosí,,,,"Cd Fernández, S.L.P., México",,,,,,,22.072028,-100.411011,488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42862863,,,Francisco Acosta,2019-01-09T22:54:45,,,,209109,,,,,,,,"Euoniticellus intermedius (Reiche, 1848)",,,,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Euoniticellus,,intermedius,,SPECIES,,,,ACCEPTED,,,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2021-05-18T12:25:26.836Z,,,,,,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,StillImage,TRUE,FALSE,1094483,1094483,1,54,216,1470,5840,1094471,,1094483,Euoniticellus intermedius,Euoniticellus,"Euoniticellus intermedius (Reiche, 1848)",Euoniticellus intermedius,,DWC_ARCHIVE,2021-05-18T12:25:26.836Z,2021-05-18T09:31:41.707Z,TRUE,,,,MEX,Mexico,MEX.24_1,San Luis Potosí,MEX.24.13_1,Ciudad Fernández,,,
3049070881,,Not-for-profit use only,,,,,,,,,,,,,,,,,,,,,,,,21462215,,,,,,,,,,CC_BY_NC_4_0,,,2021-02-27T18:03:13Z,,,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=21462215,,,,http://creativecommons.org/licenses/by-nc/4.0/,Texas A&M University,,,,,,,,,,13b264e0-ea1c-4ff2-8229-0507f8dbf46a,,TAMU,ENTO,,,PRESERVED_SPECIMEN,,,,1489e496-7b3f-4a14-a2ed-70a4ae388ebd,X1227449,,D. G. Marqua,,,,,Adult,,,,PRESENT,,,,,,,,,,,,,,,,,,,1991-10-09T00:00:00,,282,,1991,10,9,10/09/1991,,,,,,,,,,,,,,,US,Texas,Jeff Davis,,Davis Mountains Resort,,,,,,,,30.62211055,-104.0940141,,,,,,,,,D. Allen Dean,,named place/site,BioGeomancer Workbench,georeferencing complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,10510,,,,,,,,"Euoniticellus intermedius (Reiche, 1848)",,,,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Euoniticellus,,intermedius,,SPECIES,,,,ACCEPTED,,,96193ea2-f762-11e1-a439-00145eb45e9a,US,2021-03-30T12:02:11.568Z,,,,,,,COORDINATE_REPROJECTED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,,TRUE,FALSE,1094483,1094483,1,54,216,1470,5840,1094471,,1094483,Euoniticellus intermedius,Euoniticellus,"Euoniticellus intermedius (Reiche, 1848)",Euoniticellus intermedius,,DWC_ARCHIVE,2021-03-30T12:02:11.568Z,2021-03-11T14:07:39.900Z,FALSE,,,,USA,United States,USA.44_1,Texas,USA.44.122_1,Jeff Davis,,,
3049065840,,Not-for-profit use only,,,,,,,,,,,,,,,,,,,,,,,,21462214,,,,,,,,,,CC_BY_NC_4_0,,,2021-02-27T18:03:13Z,,,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=21462214,,,,http://creativecommons.org/licenses/by-nc/4.0/,Texas A&M University,,,,,,,,,,13b264e0-ea1c-4ff2-8229-0507f8dbf46a,,TAMU,ENTO,,,PRESERVED_SPECIMEN,,,,cbdbd8ec-120e-49be-a223-dfe731bf540c,X1227384,,D. G. Marqua,,,,,Adult,,,,PRESENT,,,,,,,,,,,,,,,,,,,1991-10-09T00:00:00,,282,,1991,10,9,10/09/1991,,,,,,,,,,,,,,,US,Texas,Jeff Davis,,Davis Mountains Resort,,,,,,,,30.62211055,-104.0940141,,,,,,,,,D. Allen Dean,,named place/site,BioGeomancer Workbench,georeferencing complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,10510,,,,,,,,"Euoniticellus intermedius (Reiche, 1848)",,,,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Euoniticellus,,intermedius,,SPECIES,,,,ACCEPTED,,,96193ea2-f762-11e1-a439-00145eb45e9a,US,2021-03-30T12:02:11.573Z,,,,,,,COORDINATE_REPROJECTED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,,TRUE,FALSE,1094483,1094483,1,54,216,1470,5840,1094471,,1094483,Euoniticellus intermedius,Euoniticellus,"Euoniticellus intermedius (Reiche, 1848)",Euoniticellus intermedius,,DWC_ARCHIVE,2021-03-30T12:02:11.573Z,2021-03-11T14:07:39.900Z,FALSE,,,,USA,United States,USA.44_1,Texas,USA.44.122_1,Jeff Davis,,,
3048992882,,Not-for-profit use only,,,,,,,,,,,,,,,,,,,,,,,,21462213,,,,,,,,,,CC_BY_NC_4_0,,,2021-02-27T18:03:13Z,,,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=21462213,,,,http://creativecommons.org/licenses/by-nc/4.0/,Texas A&M University,,,,,,,,,,13b264e0-ea1c-4ff2-8229-0507f8dbf46a,,TAMU,ENTO,,,PRESERVED_SPECIMEN,,,,2012da7b-d389-40bb-ad36-645f03d65ec7,X1227372,,D. G. Marqua,,,,,Adult,,,,PRESENT,,,,,,,,,,,,,,,,,,,1991-10-09T00:00:00,,282,,1991,10,9,10/09/1991,,,,,,,,,,,,,,,US,Texas,Jeff Davis,,Davis Mountains Resort,,,,,,,,30.62211055,-104.0940141,,,,,,,,,D. Allen Dean,,named place/site,BioGeomancer Workbench,georeferencing complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,10510,,,,,,,,"Euoniticellus intermedius (Reiche, 1848)",,,,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Euoniticellus,,intermedius,,SPECIES,,,,ACCEPTED,,,96193ea2-f762-11e1-a439-00145eb45e9a,US,2021-03-30T12:02:04.295Z,,,,,,,COORDINATE_REPROJECTED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,,TRUE,FALSE,1094483,1094483,1,54,216,1470,5840,1094471,,1094483,Euoniticellus intermedius,Euoniticellus,"Euoniticellus intermedius (Reiche, 1848)",Euoniticellus intermedius,,DWC_ARCHIVE,2021-03-30T12:02:04.295Z,2021-03-11T14:07:39.900Z,FALSE,,,,USA,United States,USA.44_1,Texas,USA.44.122_1,Jeff Davis,,,
3048989893,,Not-for-profit use only,,,,,,,,,,,,,,,,,,,,,,,,21462130,,,,,,,,,,CC_BY_NC_4_0,,,2021-02-27T18:03:13Z,,,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=21462130,,,,http://creativecommons.org/licenses/by-nc/4.0/,Texas A&M University,,,,,,,,,,13b264e0-ea1c-4ff2-8229-0507f8dbf46a,,TAMU,ENTO,,,PRESERVED_SPECIMEN,,,,10aa7771-6d49-47b6-80d8-f87fbb8bcb5f,X1227391,,,,,,,Adult,,,,PRESENT,,,,,,,GN Radiator of '67 Dodge Pickup,,,,,,,,,,,,1991-09-15T00:00:00,,258,,1991,9,15,9/15/1991,,,,,,,,,,,,,,,US,Texas,Jeff Davis,,Davis Mountains Resort,,,,,,,,30.62196,-104.0937,,,,,,,,,D. Allen Dean,,named place/site,Google Earth,georeferencing complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,10510,,,,,,,,"Euoniticellus intermedius (Reiche, 1848)",,,,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Euoniticellus,,intermedius,,SPECIES,,,,ACCEPTED,,,96193ea2-f762-11e1-a439-00145eb45e9a,US,2021-03-30T12:01:27.121Z,,,,,,,INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,,TRUE,FALSE,1094483,1094483,1,54,216,1470,5840,1094471,,1094483,Euoniticellus intermedius,Euoniticellus,"Euoniticellus intermedius (Reiche, 1848)",Euoniticellus intermedius,,DWC_ARCHIVE,2021-03-30T12:01:27.121Z,2021-03-11T14:07:39.900Z,FALSE,,,,USA,United States,USA.44_1,Texas,USA.44.122_1,Jeff Davis,,,
3048882553,,Not-for-profit use only,,,,,,,,,,,,,,,,,,,,,,,,12665071,,,,,,,,,,CC_BY_NC_4_0,,,2021-02-27T18:03:13Z,,,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=12665071,,,,http://creativecommons.org/licenses/by-nc/4.0/,Texas A&M University,,,,,,,,,,13b264e0-ea1c-4ff2-8229-0507f8dbf46a,,TAMU,ENTO,,,PRESERVED_SPECIMEN,,,,8d43ebeb-7db8-412f-bc8b-d30b56f22aff,X0609743,,M. A. Quinn; E. G. Riley,,,,,Adult,,,,PRESENT,,,,,,,,,,,,,,,,,,,2011-04-23T00:00:00,,113,,2011,4,23,4/23/2011,,,,,,,,,,,,,,,US,Texas,Brewster,,"Elephant Mountain Wildlife Management Area, (site 2) ranch house site",,,,,,,,30.02895244,-103.5321067,,,,,,,,,D. Allen Dean,,named place/site,BioGeomancer Workbench,georeferencing complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,10510,,,,,,,,"Euoniticellus intermedius (Reiche, 1848)",,,,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Euoniticellus,,intermedius,,SPECIES,,,,ACCEPTED,,,96193ea2-f762-11e1-a439-00145eb45e9a,US,2021-03-30T12:02:00.298Z,,,,,,,COORDINATE_REPROJECTED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,,TRUE,FALSE,1094483,1094483,1,54,216,1470,5840,1094471,,1094483,Euoniticellus intermedius,Euoniticellus,"Euoniticellus intermedius (Reiche, 1848)",Euoniticellus intermedius,,DWC_ARCHIVE,2021-03-30T12:02:00.298Z,2021-03-11T14:07:39.900Z,FALSE,,,,USA,United States,USA.44_1,Texas,USA.44.22_1,Brewster,,,
3048876685,,Not-for-profit use only,,,,,,,,,,,,,,,,,,,,,,,,12644144,,,,,,,,,,CC_BY_NC_4_0,,,2021-02-27T18:03:13Z,,,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=12644144,,,,http://creativecommons.org/licenses/by-nc/4.0/,Texas A&M University,,,,,,,,,,13b264e0-ea1c-4ff2-8229-0507f8dbf46a,,TAMU,ENTO,,,PRESERVED_SPECIMEN,,,,0743433c-7cf1-4974-9986-85d3ec8af6d6,X0981064,,T. Ohmann,,,,,Adult,,,,PRESENT,,,,,,,dung,,,,,,,,,,,,2000-08-16T00:00:00,,229,235,2000,8,16,8/16/2000,,pitfall trap baited with [...],,,,,,,,,,,,,US,Arizona,Cochise,,"5 miles SW Portal, Chiricahua Mountains, Southwest Research Station",,,,,,,,31.86247646,-109.2020075,,,,,,,,,D. Allen Dean,,named place/site + distance/direction,BioGeomancer Workbench,georeferencing complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,10510,,,,,,,,"Euoniticellus intermedius (Reiche, 1848)",,,,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Euoniticellus,,intermedius,,SPECIES,,,,ACCEPTED,,,96193ea2-f762-11e1-a439-00145eb45e9a,US,2021-03-30T12:01:58.969Z,,,,,,,COORDINATE_REPROJECTED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,,TRUE,FALSE,1094483,1094483,1,54,216,1470,5840,1094471,,1094483,Euoniticellus intermedius,Euoniticellus,"Euoniticellus intermedius (Reiche, 1848)",Euoniticellus intermedius,,DWC_ARCHIVE,2021-03-30T12:01:58.969Z,2021-03-11T14:07:39.900Z,FALSE,,,,USA,United States,USA.3_1,Arizona,USA.3.2_1,Cochise,,,
3048861515,,Not-for-profit use only,,,,,,,,,,,,,,,,,,,,,,,,12615551,,,,,,,,,,CC_BY_NC_4_0,,,2021-02-27T18:03:13Z,,,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=12615551,,,,http://creativecommons.org/licenses/by-nc/4.0/,Texas A&M University,,,,,,,,,,13b264e0-ea1c-4ff2-8229-0507f8dbf46a,,TAMU,ENTO,,,PRESERVED_SPECIMEN,,,,9d6e792c-29cb-44f4-bdc5-5d8a6b2875f2,X0984284,,E. G. Riley; C. S. Wolfe,,,,,Adult,,,,PRESENT,,,,,,,,,,,,,,,,,,,1989-07-24T00:00:00,,205,,1989,7,24,7/24/1989,,,,,,,,,,,,,,,US,Texas,Jeff Davis,,14.7 miles W Fort Davis,,,,,,,,30.58836143,-104.141555,,,,,,,,,D. Allen Dean,,named place/site + distance/direction,BioGeomancer Workbench,georeferencing complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,10510,,,,,,,,"Euoniticellus intermedius (Reiche, 1848)",,,,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Euoniticellus,,intermedius,,SPECIES,,,,ACCEPTED,,,96193ea2-f762-11e1-a439-00145eb45e9a,US,2021-03-30T12:01:57.982Z,,,,,,,COORDINATE_REPROJECTED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,,TRUE,FALSE,1094483,1094483,1,54,216,1470,5840,1094471,,1094483,Euoniticellus intermedius,Euoniticellus,"Euoniticellus intermedius (Reiche, 1848)",Euoniticellus intermedius,,DWC_ARCHIVE,2021-03-30T12:01:57.982Z,2021-03-11T14:07:39.900Z,FALSE,,,,USA,United States,USA.44_1,Texas,USA.44.122_1,Jeff Davis,,,
3048860513,,Not-for-profit use only,,,,,,,,,,,,,,,,,,,,,,,,12615554,,,,,,,,,,CC_BY_NC_4_0,,,2021-02-27T18:03:13Z,,,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=12615554,,,,http://creativecommons.org/licenses/by-nc/4.0/,Texas A&M University,,,,,,,,,,13b264e0-ea1c-4ff2-8229-0507f8dbf46a,,TAMU,ENTO,,,PRESERVED_SPECIMEN,,,,0a458368-b2c8-4dc0-a035-66bd62c5983a,X0941057,,E. G. Riley; C. S. Wolfe,,,,,Adult,,,,PRESENT,,,,,,,,,,,,,,,,,,,1989-07-24T00:00:00,,205,,1989,7,24,7/24/1989,,,,,,,,,,,,,,,US,Texas,Jeff Davis,,14.7 miles W Fort Davis,,,,,,,,30.58836143,-104.141555,,,,,,,,,D. Allen Dean,,named place/site + distance/direction,BioGeomancer Workbench,georeferencing complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,10510,,,,,,,,"Euoniticellus intermedius (Reiche, 1848)",,,,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Euoniticellus,,intermedius,,SPECIES,,,,ACCEPTED,,,96193ea2-f762-11e1-a439-00145eb45e9a,US,2021-03-30T12:01:50.062Z,,,,,,,COORDINATE_REPROJECTED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,,TRUE,FALSE,1094483,1094483,1,54,216,1470,5840,1094471,,1094483,Euoniticellus intermedius,Euoniticellus,"Euoniticellus intermedius (Reiche, 1848)",Euoniticellus intermedius,,DWC_ARCHIVE,2021-03-30T12:01:50.062Z,2021-03-11T14:07:39.900Z,FALSE,,,,USA,United States,USA.44_1,Texas,USA.44.122_1,Jeff Davis,,,
3048859526,,Not-for-profit use only,,,,,,,,,,,,,,,,,,,,,,,,12615552,,,,,,,,,,CC_BY_NC_4_0,,,2021-02-27T18:03:13Z,,,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=12615552,,,,http://creativecommons.org/licenses/by-nc/4.0/,Texas A&M University,,,,,,,,,,13b264e0-ea1c-4ff2-8229-0507f8dbf46a,,TAMU,ENTO,,,PRESERVED_SPECIMEN,,,,7111555b-7aff-48d2-b3b0-f8ec92d7962a,X0997804,,E. G. Riley; C. S. Wolfe,,,,,Adult,,,,PRESENT,,,,,,,,,,,,,,,,,,,1989-07-24T00:00:00,,205,,1989,7,24,7/24/1989,,,,,,,,,,,,,,,US,Texas,Jeff Davis,,14.7 miles W Fort Davis,,,,,,,,30.58836143,-104.141555,,,,,,,,,D. Allen Dean,,named place/site + distance/direction,BioGeomancer Workbench,georeferencing complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,10510,,,,,,,,"Euoniticellus intermedius (Reiche, 1848)",,,,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Euoniticellus,,intermedius,,SPECIES,,,,ACCEPTED,,,96193ea2-f762-11e1-a439-00145eb45e9a,US,2021-03-30T12:01:57.709Z,,,,,,,COORDINATE_REPROJECTED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,,TRUE,FALSE,1094483,1094483,1,54,216,1470,5840,1094471,,1094483,Euoniticellus intermedius,Euoniticellus,"Euoniticellus intermedius (Reiche, 1848)",Euoniticellus intermedius,,DWC_ARCHIVE,2021-03-30T12:01:57.709Z,2021-03-11T14:07:39.900Z,FALSE,,,,USA,United States,USA.44_1,Texas,USA.44.122_1,Jeff Davis,,,
3048859024,,Not-for-profit use only,,,,,,,,,,,,,,,,,,,,,,,,12629765,,,,,,,,,,CC_BY_NC_4_0,,,2021-02-27T18:03:13Z,,,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=12629765,,,,http://creativecommons.org/licenses/by-nc/4.0/,Texas A&M University,,,,,,,,,,13b264e0-ea1c-4ff2-8229-0507f8dbf46a,,TAMU,ENTO,,,PRESERVED_SPECIMEN,,,,b3d50ae2-f8bf-493b-86a8-f06248700cc2,X1030166,,D. J. Heffern,,,,,Adult,,,,PRESENT,,,,,,,,,,,,,,,,,,,1995-07-01T00:00:00,,182,183,1995,7,1,7/01/1995,,,,,,,,,,,,,,,US,Texas,Jeff Davis,,Davis Mountains Resort,,,,,,,,30.62211055,-104.0940141,,,,,,,,,D. Allen Dean,,named place/site,BioGeomancer Workbench,georeferencing complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,10510,,,,,,,,"Euoniticellus intermedius (Reiche, 1848)",,,,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Euoniticellus,,intermedius,,SPECIES,,,,ACCEPTED,,,96193ea2-f762-11e1-a439-00145eb45e9a,US,2021-03-30T12:01:58.961Z,,,,,,,COORDINATE_REPROJECTED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,,TRUE,FALSE,1094483,1094483,1,54,216,1470,5840,1094471,,1094483,Euoniticellus intermedius,Euoniticellus,"Euoniticellus intermedius (Reiche, 1848)",Euoniticellus intermedius,,DWC_ARCHIVE,2021-03-30T12:01:58.961Z,2021-03-11T14:07:39.900Z,FALSE,,,,USA,United States,USA.44_1,Texas,USA.44.122_1,Jeff Davis,,,
3048858524,,Not-for-profit use only,,,,,,,,,,,,,,,,,,,,,,,,12615553,,,,,,,,,,CC_BY_NC_4_0,,,2021-02-27T18:03:13Z,,,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=12615553,,,,http://creativecommons.org/licenses/by-nc/4.0/,Texas A&M University,,,,,,,,,,13b264e0-ea1c-4ff2-8229-0507f8dbf46a,,TAMU,ENTO,,,PRESERVED_SPECIMEN,,,,8bb6d02a-6f02-425b-ba36-109f528c735a,X0983996,,E. G. Riley; C. S. Wolfe,,,,,Adult,,,,PRESENT,,,,,,,,,,,,,,,,,,,1989-07-24T00:00:00,,205,,1989,7,24,7/24/1989,,,,,,,,,,,,,,,US,Texas,Jeff Davis,,14.7 miles W Fort Davis,,,,,,,,30.58836143,-104.141555,,,,,,,,,D. Allen Dean,,named place/site + distance/direction,BioGeomancer Workbench,georeferencing complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,10510,,,,,,,,"Euoniticellus intermedius (Reiche, 1848)",,,,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Euoniticellus,,intermedius,,SPECIES,,,,ACCEPTED,,,96193ea2-f762-11e1-a439-00145eb45e9a,US,2021-03-30T12:01:58.451Z,,,,,,,COORDINATE_REPROJECTED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,,TRUE,FALSE,1094483,1094483,1,54,216,1470,5840,1094471,,1094483,Euoniticellus intermedius,Euoniticellus,"Euoniticellus intermedius (Reiche, 1848)",Euoniticellus intermedius,,DWC_ARCHIVE,2021-03-30T12:01:58.451Z,2021-03-11T14:07:39.900Z,FALSE,,,,USA,United States,USA.44_1,Texas,USA.44.122_1,Jeff Davis,,,
